20200617200031                 Connected to the PowerApps AdminCenter
20200617200031                  fetching the PowerAppsData forMaster on ModernTeam forms
20200617200031                  fetching the PowerAppsData forList0App
20200617200031                  fetching the PowerAppsData forHelp Desk Tickets
20200617200031                  fetching the PowerAppsData forBlankTemplate
20200617200031                  fetching the PowerAppsData fortestmasterlist on ModernTeam forms
20200617200031                  fetching the PowerAppsData forPowerAppsDropdown on ModernTeam forms
20200617200031                  fetching the PowerAppsData forApp
20200617200031                  fetching the PowerAppsData forHelp Desk_1509
20200617200031                  fetching the PowerAppsData forBlankTemplateTest
20200617200031                  fetching the PowerAppsData forSPFXListOperations on ModernTeam forms
20200617200031                  fetching the PowerAppsData forPowerAppsDropdown on ModernTeam forms (1)
20200617200031                  fetching the PowerAppsData for0 on ModernTeam forms
20200617200031                  fetching the PowerAppsData forTeest on ModernTeam forms
20200617200031                  fetching the PowerAppsData forLargeList
20200617200031                  fetching the PowerAppsData forCustomFormsTeest
20200617200031                  fetching the PowerAppsData forFILTERLIST
20200617200031                  fetching the PowerAppsData forPowerAppForm
20200617200031                  fetching the PowerAppsData forcustomlist on team forms
20200617200031                  fetching the PowerAppsData forHelp Desk Tickets test
